旧值	新值	频率
标注政策改革和峰值年份	标注事件	1
标注政策改革拐点	标注事件	1
标注政策改革节点	标注事件	1
标注政策放宽节点	标注事件	1
标注政策效果	标注事件	1
标注政策数和覆盖市场	标注事件	1
标注政策方向	标注事件	1
标注政策目标	标注事件	2
标注政策窗口期	标注事件	1
标注政策节点	标注事件	2
标注政策补贴	标注事件	1
标注政策规划节点	标注事件	1
标注政策调控节点	标注事件	2
标注政策调整	标注事件	1
标注政策转向	标注事件	1
标注政策转向时间点	标注事件	1
标注政策转折点	标注事件	2
标注政策里程碑	标注事件	1
标注政策驱动	标注事件	6
标注政策驱动事件	标注事件	1
标注政策驱动因素	标注事件	1
标注政策驱动节点	标注事件	1
标注故障率和响应时间	标注关键信息	1
标注效应大小和	标注关键信息	2
标注效应量	标注关键信息	1
标注效应量+CI	标注关键信息	1
标注效应量和p	标注关键信息	1
标注效果	标注数值	1
标注效果差距	标注差异	1
标注效果评分	标注评分	1
标注效果评分和规模	标注评分	1
标注效率	标注效率	3
标注效率位置	标注效率	1
标注效率前沿	标注效率	3
标注效率变化和满意度	标注评分	1
标注效率和满意分	标注效率	1
标注效率因子	标注效率	1
标注效率差异	标注差异	4
标注效率损失	标注效率	1
标注效率损耗	标注效率	1
标注效率提升数据	标注效率	1
标注效率评分	标注评分	1
标注效率评分和风险	标注风险	1
标注敏感性和特异性	标注关键信息	2
标注救助事件	标注事件	1
标注教育差异	标注差异	1
标注教育政策	标注事件	1
标注教育效果	标注关键信息	1
标注教育普及里程碑	标注阶段	1
标注敬业变化	标注关键信息	1
标注敬业水平	标注关键信息	1
标注数值	标注数值	2
标注数博会节点	标注阶段	1
标注数字化分	标注关键信息	1
标注数字化差距	标注差异	2
标注数字化指数	标注评分	3
标注数字化渠道反超时间点	标注关键信息	1
标注数字化率	标注关键信息	1
标注数字化率%	标注占比	1
标注数字化率和满意度	标注评分	1
标注数字化评分和市场份额	标注金额占比	1
标注数字化转型驱动	标注驱动因素	1
标注数字收入%	标注金额占比	1
标注数字服务超过旅游的拐点	标注趋势特征	1
标注数字经济占	标注关键信息	1
标注数字经济占GDP比重	标注占比	1
标注数字超过TV的拐点	标注趋势特征	1
标注数字鸿沟	标注关键信息	2
标注数据+解读	标注关键信息	1
标注数据价值和治理评分	标注评分	1
标注数据来源	标注关键信息	2
标注数据流	标注关键信息	1
标注数据流向	标注关键信息	1
标注数据源名	标注关键信息	1
标注数据量	标注数值	3
标注数据量GB	标注数值	1
标注数据量TB	标注数值	1
标注数据集数	标注关键信息	1
标注数据需求	标注关键信息	1
标注数量	标注数值	2
标注数量和	标注数值	2
标注数量和¥B	标注数值	1
标注数量和全球占比	标注金额占比	1
标注数量和募资额	标注数值	1
标注数量和类型	标注数值	1
标注整体平均线	标注参考线	1
标注整合进度	标注关键信息	1
标注整合难度和一致性	标注关键信息	1
标注整改率	标注关键信息	1
标注文化/自然比例	标注占比	1
标注文化事件节点	标注事件	1
标注文化周期	标注阶段	1
标注文化差异	标注差异	1
标注文化特征	标注关键信息	1
标注文明兴衰	标注关键信息	1
标注文档数	标注关键信息	1
标注断层线	标注阶段	1
标注新兴口味趋势	标注趋势特征	1
标注新兴品类	标注关键信息	1
标注新兴国家突破	标注实体名	1
标注新兴技术领域	标注关键信息	1
标注新兴技能	标注关键信息	2
标注新兴目的地	标注关键信息	1
标注新兴类型	标注关键信息	1
标注新兴趋势	标注趋势特征	1
标注新兴阅读趋势	标注趋势特征	1
标注新兴领域	标注关键信息	1
标注新功能发布和增长率	标注增长率	1
标注新势力崛起	标注关键信息	1
标注新品发布	标注关键信息	1
标注新品种上市	标注关键信息	1
标注新增成员国数	标注关键信息	1
标注新建/退役计划	标注关键信息	1
标注新抗原丢失和	标注关键信息	1
标注新抗原数和响应率	标注关键信息	1
标注新片上映日	标注关键信息	1
标注新玩家入场和份额交叉	标注金额占比	1
标注新老交替拐点	标注趋势特征	1
标注新能源超过15%的拐点	标注占比	1
标注新能源超过50%的拐点	标注占比	1
标注新能源超过煤电的拐点	标注趋势特征	1
标注新船交付潮	标注关键信息	1
标注新车型发布和产能爬坡	标注关键信息	1
标注新车型发布和产能瓶颈	标注关键信息	1
标注新进Top	标注关键信息	1
标注新闻事件时间点	标注事件	1
标注方案评级	标注评分	1
标注方法学覆盖	标注关键信息	1
标注方法差异	标注差异	1
标注方法论差异	标注差异	1
标注族群比例	标注占比	1
标注日均和收入	标注关键信息	1
标注日志模式	标注关键信息	1
标注日志量	标注关键信息	1
标注日期和媒体	标注关键信息	1
标注日期和描述	标注关键信息	1
标注时效	标注数值	1
标注时效和成本	标注关键信息	1
标注时效差异	标注差异	1
标注时效承诺	标注关键信息	1
标注时效改善和成本节约	标注差异	1
标注时段名	标注关键信息	1
标注时长占比和同比变化	标注增长率	1
标注时长拐点	标注趋势特征	1
标注时间	标注数值	1
标注时间和$	标注关键信息	1
标注时间和%	标注占比	1
标注时间和关键指标	标注关键信息	1
标注时间和关键数据	标注关键信息	2
标注时间和破纪录者	标注关键信息	1
标注时间戳	标注关键信息	1
标注时间点和样本量	标注数值	1
标注时间盒	标注关键信息	1
标注时间窗口	标注关键信息	1
标注时间缩短和成本节省	标注关键信息	1
标注时间缩短月	标注关键信息	1
标注时间节点和响应动作	标注阶段	1
标注时间节省	标注关键信息	3
标注旺季和淡季	标注关键信息	1
标注明星/金牛/问题/瘦狗	标注关键信息	1
标注明星产品	标注关键信息	1
标注明星企业	标注关键信息	1
标注明星区	标注关键信息	1
标注明星品类	标注关键信息	1
标注明星技术	标注关键信息	1
标注明星投资	标注关键信息	1
标注明星材料	标注关键信息	1
标注明星球员	标注关键信息	1
标注明星项目	标注关键信息	3
标注星级	标注数值	1
标注是否达标	标注关键信息	1
标注显卡型号	标注实体名	1
标注显著	标注数值	1
标注显著基因名	标注关键信息	2
标注显著基因座	标注关键信息	1
标注显著性	标注评分	2
标注显著性阈值和关键基因	标注评分	1
标注显著正相关趋势	标注趋势特征	1
标注显著阈值	标注关键信息	2
标注普及率%	标注占比	1
标注普及率拐点	标注趋势特征	1
标注景气方向	标注关键信息	2
标注智慧分	标注关键信息	1
标注智慧指数	标注评分	1
标注智能计算指数	标注评分	1
标注曲线形态	标注关键信息	1
标注更替	标注数值	1
标注更替水平参考线	标注参考线	1
标注更替率线	标注关键信息	1
标注替代供应商路径	标注阶段	1
标注替代关系	标注关键信息	1
标注替代性	标注关键信息	1
标注替代拐点	标注趋势特征	1
标注替代节点	标注阶段	3
标注最严重瓶颈领域	标注关键信息	1
标注最优	标注象限策略	1
标注最优ROI区间	标注象限策略	1
标注最优价格区间	标注象限策略	1
标注最优切换频次区间	标注象限策略	1
标注最优区域	标注象限策略	1
标注最优参数区间	标注象限策略	1
标注最优性价比区	标注象限策略	1
标注最优模式	标注象限策略	1
标注最优点	标注象限策略	1
标注最优覆盖区间	标注象限策略	1
标注最低	标注数值	1
标注最低年份和百分比	标注占比	1
标注最低费用最高回报基金	标注关键信息	1
标注最佳	标注数值	1
标注最佳/最差品牌	标注实体名	1
标注最佳和最差夜晚	标注关键信息	1
标注最佳响应	标注关键信息	1
标注最佳实践	标注排名	4
标注最佳实践基线	标注排名	1
标注最佳实践时间分配	标注排名	1
标注最佳实践案例	标注排名	1
标注最佳射门区域	标注关键信息	1
标注最佳市场	标注关键信息	1
标注最佳平衡	标注参考线	1
标注最受欢迎技术	标注关键信息	1
标注最大	标注趋势特征	8
标注最大亏损项	标注趋势特征	1
标注最大发行国	标注趋势特征	1
标注最大地震名和伤亡	标注趋势特征	1
标注最大差距维度	标注差异	1
标注最大损失	标注趋势特征	1
标注最大敞口	标注趋势特征	1
标注最大火灾名和烧毁面积	标注趋势特征	1
标注最大痛点和到期日	标注趋势特征	1
标注最大经济体名	标注趋势特征	1
标注最大负荷省份和月份	标注趋势特征	1
标注最大贸易伙伴	标注趋势特征	1
标注最大项目名和投资额	标注因素金额	1
标注最大风险	标注风险	2
标注最大驱动	标注驱动因素	2
标注最大驱动力	标注驱动因素	1
标注最弱维度	标注维度评分	1
标注最快圈	标注关键信息	2
标注最新估值	标注关键信息	1
标注最新生存率和改善幅度	标注差异	1
标注最活跃城市和路段	标注实体名	1
标注最热10年都在2014年后	标注关键信息	1
标注最热年份和关键事件	标注事件	1
标注最近喷发	标注关键信息	1
标注最近接近	标注关键信息	1
标注最高	标注数值	2
标注最高/最低国家	标注实体名	1
标注最高收视时段和频道	标注关键信息	1
标注月交付峰值	标注趋势特征	1
标注月度变化	标注关键信息	1
标注月数	标注数值	4
标注月费用	标注关键信息	1
标注月销破30万拐点	标注趋势特征	1
标注有效性+安全性	标注风险	1
标注服务业超过50%的拐点	标注占比	1
标注服务健康	标注关键信息	1
标注服务名	标注关键信息	1
标注服务成本	标注关键信息	1
标注服务水平	标注关键信息	2
标注服务缺口	标注差异	1
标注期望值	标注关键信息	1
标注期望工期	标注关键信息	1
标注期望斜率	标注关键信息	1
标注期望落地时间	标注关键信息	1
标注期限和利差	标注关键信息	1
标注未满足需求	标注关键信息	1
标注未覆盖人口	标注数值	1
标注机会变化	标注关键信息	1
标注机会差距	标注差异	1
标注机构名	标注关键信息	1
标注机构类型	标注关键信息	1
标注机架数和PUE	标注关键信息	1
标注机组数和装机容量	标注关键信息	1
标注权益差异	标注差异	1
标注权衡	标注数值	2
标注权衡方向	标注关键信息	1
标注权衡点	标注关键信息	1
标注权重	标注数值	1
标注权重%	标注占比	1
标注权重偏差	标注差异	1
标注权重和相关性	标注趋势特征	1
标注材料占比	标注占比	1
标注材料名	标注实体名	1
标注材料类型	标注关键信息	1
标注条件和统计量	标注关键信息	1
标注来源	标注数值	1
标注极值	标注数值	2
标注极值原因	标注驱动因素	2
标注极值点	标注关键信息	1
标注极化标记和诱导因子	标注关键信息	1
标注极端	标注数值	1
标注极端价格事件	标注事件	1
标注极端值	标注关键信息	1
标注极端值电影名	标注关键信息	1
标注极端值职业名	标注关键信息	1
标注极端国家	标注实体名	1
标注极端城市	标注实体名	1
标注极端天气	标注关键信息	1
标注极端损失	标注关键信息	1
标注极端排名	标注排名	1
标注极端点	标注关键信息	2
标注极端融化事件	标注事件	1
标注极高HDI阈值线	标注关键信息	1
标注构成变化	标注关键信息	2
标注构象和时间点	标注关键信息	1
标注构象态和能垒	标注关键信息	1
标注枯竭风险年	标注风险	1
标注架构差异	标注差异	2
标注架构竞争	标注关键信息	1
标注染色体	标注关键信息	1
标注染色体和变异类型	标注关键信息	1
标注染色质状态分段	标注关键信息	1
标注染色质状态和基因	标注关键信息	1
标注查获量	标注关键信息	1
标注查询数	标注关键信息	1
标注查询数和ms	标注关键信息	1
标注查询类型	标注关键信息	1
标注标准差异	标注差异	1
标注标准数量和覆盖度	标注数值	1
标注标准统一	标注关键信息	1
标注标志物和响应状态	标注关键信息	1
标注标志物和异质性评分	标注评分	1
标注标志物和空间位置	标注关键信息	1
标注标杆APP	标注排名	1
标注标杆IP	标注排名	1
标注标杆企业	标注排名	1
标注标杆城市	标注排名	1
标注标杆城市线	标注排名	1
标注标杆对比	标注排名	1
标注标杆阈值	标注排名	1
标注标记表达	标注关键信息	1
标注标配趋势	标注趋势特征	1
标注校正p值	标注关键信息	1
标注校正前后方差变化	标注关键信息	1
标注样本分组信息	标注象限策略	1
标注样本数	标注关键信息	1
标注样本量减少和周期缩短	标注阶段	1
标注样本量和	标注数值	1
标注样本量和成功率	标注转化率	1
标注样本量和统计检验	标注数值	1
标注核心	标注数值	1
标注核心节点	标注阶段	1
标注核武趋势	标注趋势特征	1
标注核电占比	标注占比	1
标注根因	标注驱动因素	4
标注格式切换点	标注关键信息	1
标注框架级别	标注关键信息	1
标注案件名+结果	标注关键信息	1
标注案件数	标注关键信息	2
标注案例类型	标注关键信息	1
标注桥风险因子	标注风险	1
标注梯度和表达水平	标注关键信息	2
标注检出率%	标注占比	1
标注检出率+误报	标注关键信息	1
标注检出脱靶位点数	标注关键信息	1
标注检查点对和位置	标注关键信息	1
标注检测数	标注数值	3
标注概念爆发和回落拐点	标注趋势特征	1
标注概率	标注数值	1
标注概率%	标注占比	1
标注榨季	标注数值	1
标注模块关系	标注关键信息	1
标注模块功能	标注关键信息	1
标注模块功能类别	标注关键信息	1
标注模块大小和富集通路	标注关键信息	1
标注模型偏差	标注差异	1
标注模型层级	标注阶段	1
标注模型数	标注关键信息	1
标注模型迭代节点	标注阶段	1
标注模式	标注数值	1
标注模式崩溃	标注关键信息	1
标注模式差异	标注差异	1
标注模式特征和区域	标注关键信息	1
标注模态特异性和共享性	标注关键信息	1
标注模板类别	标注关键信息	1
标注次数和ms	标注关键信息	1
标注欧央行预测	标注关键信息	1
标注欺诈金额	标注数值	1
标注正常定价区间	标注关键信息	1
标注正相关趋势线和异常点	标注趋势特征	1
标注正负贡献	标注关键信息	1
标注步数和千卡	标注关键信息	1
标注残基类型和能量	标注关键信息	1
标注残基类型和能量变化	标注关键信息	1
标注残基类型和能量贡献	标注关键信息	1
标注每个亚组的	标注关键信息	1
标注每个因素贡献	标注驱动因素	1
标注每个驱动因素的贡献值	标注驱动因素	1
标注每单位效果的投入	标注关键信息	1
标注每层人数和平均财富	标注阶段	1
标注每层人数和缺口百分比	标注差异	1
标注每层的	标注阶段	1
标注每日推荐量	标注关键信息	1
标注每期留存率和流失率	标注转化率	1
标注每步转化率和流失原因	标注转化率	1
标注每细胞成本和通量	标注关键信息	1
标注每阶段跃迁所需的投资和组织变革	标注阶段	1
标注每项灾害的损失金额和占比	标注金额占比	1
标注每项金额和占比	标注金额占比	1
标注每项驱动因素和金额	标注因素金额	1
标注比例	标注占比	18
标注比例%	标注占比	1
标注比例和金额	标注金额占比	2
标注比率	标注数值	1
标注比率和产出	标注数值	1
标注民主评分和	标注评分	1
标注民生占比	标注占比	1
标注气体	标注数值	1
标注气候关联	标注关键信息	1
标注气候影响	标注关键信息	1
标注气候影响年份	标注关键信息	1
标注气候等级	标注评分	1
标注水位	标注数值	1
标注水力压裂技术突破	标注关键信息	1
标注水平指数	标注评分	1
标注水资源红线	标注风险	1
标注汇率	标注数值	1
标注汇率趋势	标注趋势特征	1
标注污染源	标注关键信息	1
标注污染量	标注关键信息	2
标注油田名	标注关键信息	1
标注治理健康	标注关键信息	1
标注治理工程节点	标注阶段	1
标注治理差距	标注差异	1
标注治疗前后变化	标注关键信息	1
标注治疗前后对比	标注关键信息	1
标注治疗时间点和响应	标注关键信息	1
标注治疗窗口	标注关键信息	1
标注泄漏环节	标注阶段	1
标注法律事件名和日期	标注事件	1
标注法律名	标注关键信息	1
标注法律差异	标注差异	1
标注法案名	标注关键信息	1
标注法案名和影响金额	标注数值	1
标注法规差距	标注差异	1
标注法规限值	标注关键信息	1
标注泡沫顶	标注关键信息	1
标注泡沫顶点和崩盘年份	标注关键信息	1
标注泡沫风险	标注风险	3
标注泡沫风险区	标注风险	1
标注波动范围+触发事件	标注事件	1
标注注册制改革拐点	标注趋势特征	1
标注注射部位反应和细胞因子	标注关键信息	1
标注注意力分配	标注关键信息	1
标注注意力转移趋势	标注趋势特征	1
标注活动拐点	标注趋势特征	1
标注活性阈值和时间点	标注关键信息	1
标注活跃%	标注占比	1
标注活跃模式	标注关键信息	1
标注活跃用户	标注关键信息	2
标注活跃路段	标注关键信息	1
标注流入拐点	标注趋势特征	1
标注流入量和波动率	标注关键信息	1
标注流动原因	标注驱动因素	1
标注流动性传导	标注关键信息	1
标注流向	标注数值	2
标注流向+人次	标注关键信息	1
标注流向+吨数	标注关键信息	1
标注流向+幅度	标注关键信息	1
标注流向+金额	标注数值	4
标注流向模式	标注关键信息	1
标注流失人数	标注数值	1
标注流失位置	标注关键信息	1
标注流失原因	标注驱动因素	5
标注流失因子	标注关键信息	2
标注流失最大的节点	标注阶段	1
标注流失点	标注关键信息	2
标注流失率	标注转化率	4
标注流失率+原因	标注转化率	1
标注流失量和环境影响	标注关键信息	1
标注流媒体入局	标注关键信息	2
标注流媒体占比和增速	标注增长率	1
标注流媒体原创	标注关键信息	1
标注流媒体驱动	标注驱动因素	1
标注流派标签	标注关键信息	1
标注流派超越和崛起时刻	标注关键信息	1
标注流派转折点和热单	标注关键信息	1
标注流程	标注数值	1
标注流行国家和人口	标注实体名	1
标注流行拐点	标注趋势特征	1
标注流行趋势	标注趋势特征	1
标注流通量	标注关键信息	1
标注流量	标注数值	3
标注流量+来源	标注数值	1
标注流量占比	标注占比	1
标注流量和速度	标注数值	1
标注流量模式	标注数值	1
标注流量趋势	标注趋势特征	1
标注测试分数	标注关键信息	1
标注测试通过率	标注转化率	1
标注浏览量	标注关键信息	2
标注浪型和目标	标注关键信息	1
标注浮动时间	标注关键信息	1
标注海外市场规模	标注关键信息	1
标注海拔	标注数值	1
标注海水温度	标注关键信息	1
标注海洋指数	标注评分	1
标注消息数	标注关键信息	2
标注消息量	标注关键信息	1
标注消耗速率和细胞类型	标注关键信息	1
标注消费习惯差异	标注差异	1
标注消费偏好	标注关键信息	1
标注消费升级	标注关键信息	3
标注消费升级拐点	标注趋势特征	1
标注消费模式	标注关键信息	1
标注消费者偏好	标注关键信息	1
标注消费趋势	标注趋势特征	3
标注消费量和增速	标注规模增速	1
标注消费额和增速	标注增长率	1
标注消除目标	标注关键信息	1
标注涨幅	标注数值	1
标注涨幅%	标注占比	1
标注涨幅+基数	标注关键信息	1
标注涨幅差异	标注差异	1
标注涨幅最高国家和百分比	标注占比	1
标注涨跌幅和权重	标注关键信息	2
标注涨跌情况	标注关键信息	1
标注淘汰率	标注关键信息	2
标注混合模式	标注关键信息	1
标注淹没风险城市	标注风险	1
标注清关损耗	标注关键信息	1
标注渔业区	标注关键信息	1
标注渔业资源和恢复措施	标注关键信息	1
标注渗透%	标注占比	3
标注渗透率	标注占比	5
标注渗透率%	标注占比	6
标注渗透率+增速	标注增长率	1
标注渗透率50%里程碑	标注占比	1
标注渗透率和增速	标注增长率	1
标注渗透率和增长率	标注增长率	1
标注渗透率和机器人密度	标注占比	1
标注渗透率和活跃度	标注占比	1
标注渗透率和设施数	标注占比	1
标注渗透率天花板	标注占比	1
标注渗透率差异	标注差异	1
标注渗透率拐点	标注占比	2
标注渗透率拐点(10%/50%)	标注占比	1
标注渗透率拐点和关键事件	标注事件	1
标注渗透率拐点和驱动因素	标注占比	1
标注渗透率百分比	标注占比	1
标注渗透率里程碑	标注占比	1
标注渗透目标	标注关键信息	1
标注渗透里程碑	标注阶段	1
标注渠道ROI	标注效率	1
标注渠道份额	标注金额占比	1
标注渠道切换拐点	标注趋势特征	1
标注渠道增速	标注增长率	1
标注渠道差异	标注差异	1
标注渠道建议	标注驱动因素	1
标注渠道比例	标注占比	1
标注渠道迁移	标注关键信息	2
标注温升预测	标注关键信息	1
标注温度差	标注关键信息	1
标注温度异常	标注关键信息	1
标注港口	标注数值	1
标注港口吞吐量	标注关键信息	1
标注游戏名	标注关键信息	1
标注溢价%	标注占比	1
标注溢价区间	标注关键信息	1
标注溢价影响	标注关键信息	1
标注溢价金额	标注数值	2
标注溢价驱动	标注驱动因素	1
标注满意%和复诊%	标注占比	1
标注满意差异	标注差异	1
标注满意度	标注评分	3
标注满意度%	标注占比	1
标注满意度评分	标注评分	1
标注满意率	标注关键信息	1
标注漂移根因	标注驱动因素	1
标注漏洞趋势	标注趋势特征	1
标注演化阶段	标注阶段	1
标注潜力和覆盖	标注关键信息	1
标注潜力评分	标注评分	1
标注潜力评分和投资额	标注评分	1
标注激活标记和亚型	标注关键信息	1
标注火山图阈值	标注关键信息	1
标注火锅超过正餐的拐点	标注趋势特征	1
标注灭绝速率	标注关键信息	1
标注灭绝风险	标注风险	1
标注灾因占比	标注占比	1
标注灾害名+损失	标注关键信息	1
标注灾害类型	标注关键信息	1
标注灾害频次和受灾人口	标注数值	1
标注点击次数	标注关键信息	1
标注点数	标注数值	2
标注点数和ms	标注关键信息	1
标注热区	标注数值	1
标注热含量增加量	标注关键信息	1
标注热度交叉点和关键事件	标注事件	1
标注热点	标注数值	1
标注热点事件	标注事件	1
标注热点区域名	标注实体名	1
标注热点区域名和倍率	标注实体名	1
标注热点国家和人口数	标注实体名	1
标注热点州	标注关键信息	2
标注热点邮编	标注关键信息	1
标注热量	标注数值	1
标注热销品类	标注关键信息	1
标注热门城市名	标注实体名	1
标注热门目的地	标注关键信息	1
标注煤电关停日	标注关键信息	1
标注煤电厂关闭日	标注关键信息	1
标注照护成本变化	标注关键信息	1
标注熊市/牛市周期	标注阶段	1
标注熟练度等级	标注评分	1
标注爆发点	标注关键信息	1
标注爆发趋势	标注趋势特征	1
标注爆款/扑街区	标注关键信息	1
标注爆款和扑街	标注关键信息	1
标注爆款歌曲	标注关键信息	1
标注爆款驱动	标注驱动因素	1
标注版本和得分	标注评分	1
标注版本成果	标注关键信息	1
标注物业	标注数值	1
标注物种丧失和功能下降	标注关键信息	1
标注物种名+等级	标注评分	1
标注物种名和种群数量	标注数值	1
标注物种和丰度	标注关键信息	1
标注物种数	标注关键信息	1
标注物种数和变化率	标注增长率	1
标注物种数和威胁指数	标注评分	1
标注物种数和排名	标注排名	1
标注物种数量和贸易额	标注数值	1
标注物种特异细胞类型	标注关键信息	1
标注特征	标注数值	1
标注特征和药物响应	标注关键信息	1
标注特征重要性和药物	标注关键信息	1
标注特殊原因	标注驱动因素	1
标注特殊节日	标注关键信息	1
标注状态和转换基因	标注关键信息	1
标注状态标记和渐变方向	标注关键信息	1
标注状态标记和转换率	标注关键信息	1
标注独占策略	标注象限策略	1
标注率和准确%	标注占比	1
标注率和检出	标注关键信息	1
标注环保材料	标注关键信息	1
标注环境事件	标注事件	2
标注环境互作	标注关键信息	1
标注环比和同比增速	标注增长率	1
标注环节名称	标注阶段	1
标注环锚点和	标注关键信息	1
标注现代化指数	标注评分	1
标注现役排名	标注排名	1
标注现有最佳值	标注关键信息	1
标注现有水平线	标注关键信息	1
标注现象级影片	标注关键信息	1
标注现金价vs保险价	标注关键信息	1
标注现金牛/狗	标注关键信息	1
标注珊瑚覆盖率和恢复率	标注增长率	1
标注班次	标注数值	1
标注班次和航线名	标注关键信息	1
标注球员名	标注实体名	5
标注球员名和位置	标注实体名	2
标注球员名和球队缩写	标注实体名	1
标注球员姓名	标注关键信息	1
标注球手名	标注关键信息	1
标注球队名	标注关键信息	2
标注理想城市区	标注实体名	1
标注理想时间分配建议	标注驱动因素	1
标注理论/实际TPS	标注关键信息	1
标注理论极限	标注关键信息	1
标注理论极限线	标注关键信息	1
标注理论预测幂律	标注关键信息	1
标注理论预测线	标注关键信息	1
标注理赔额和保险覆盖率	标注占比	1
标注瓶颈	标注数值	2
标注瓶颈区域	标注关键信息	1
标注瓶颈环节	标注阶段	1
标注瓶颈线路	标注关键信息	1
标注瓶颈节点	标注阶段	1
标注瓶颈路段	标注关键信息	1
标注瓶颈阶段	标注阶段	1
标注瓶颈驱动	标注驱动因素	1
标注甜蜜点	标注象限策略	4
标注生产力%	标注占比	1
标注生产率指数	标注评分	1
标注生命周期阶段	标注阶段	3
标注生存	标注数值	1
标注生存阈值线	标注关键信息	1
标注生态协同	标注关键信息	1
标注生态成熟度	标注评分	1
标注生态指数	标注评分	1
标注生态接口	标注关键信息	1
标注生态活跃度	标注关键信息	1
标注生态环节	标注阶段	1
标注生态评分	标注评分	1
标注生态趋势	标注趋势特征	1
标注生态门槛	标注关键信息	1
标注生活影响	标注关键信息	1
标注生活质量指数	标注评分	1
标注生物标志物和	标注关键信息	1
标注生物标志物和HR	标注关键信息	1
标注生长速率比值	标注关键信息	1
标注用户偏好	标注关键信息	1
标注用户占比和客单价	标注占比	1
标注用户数	标注数值	3
标注用户数+增速	标注增长率	1
标注用户数和%	标注占比	1
标注用户规模数据	标注关键信息	1
标注用户里程碑	标注阶段	1
标注用途	标注数值	1
标注甲基化%和生物年龄	标注占比	1
标注甲基化水平和阶段	标注阶段	1
标注申请数	标注关键信息	1
标注申请量	标注关键信息	2
标注电价极值	标注关键信息	1
标注电商渗透率突破点	标注占比	1
标注电商超过30%的拐点	标注占比	1
标注画像特征	标注关键信息	1
标注留人ROI	标注效率	1
标注留人投资回报	标注关键信息	1
标注留人措施节点	标注阶段	1
标注留存/转化/推荐率	标注关键信息	1
标注留存影响	标注关键信息	1
标注留存率	标注转化率	4
标注留存策略	标注象限策略	2
标注留存趋势	标注趋势特征	1
标注疏导建议	标注驱动因素	1
标注疗效指标	标注关键信息	1
标注疗效评分和毒性分级	标注评分	1
标注疫情事件	标注事件	1
标注疫情低谷和恢复拐点	标注事件	2
标注疫情催化	标注事件	2
标注疫情冲击和退休潮	标注事件	1
标注疫情前后对比	标注事件	1
标注疫情前基线	标注事件	1
标注疫情加速	标注事件	2
标注疫情加速拐点	标注事件	4
标注疫情加速拐点和放缓拐点	标注事件	1
标注疫情加速段	标注事件	1
标注疫情对通勤的影响	标注事件	1
标注疫情封锁期间	标注事件	1
标注疫情影响	标注事件	1
标注疫情影响区域	标注事件	1
标注疫情影响期	标注事件	1
标注疫情拐点	标注事件	2
标注疫情拐点和新常态	标注事件	1
标注疫情防控政策变化节点	标注事件	1
标注疾病名称和	标注关键信息	1
标注疾病和模块基因	标注关键信息	1
标注疾病风险降低	标注风险	1
标注病毒载量和免疫指标	标注关键信息	1
标注病毒载量和细胞杀伤率	标注关键信息	1
标注症状评分变化	标注评分	1
标注痛点	标注数值	1
标注痛点触点	标注关键信息	1
标注登顶事件	标注事件	1
标注百万人	标注关键信息	1
标注百万人和吨	标注关键信息	1
标注百万桶/天	标注关键信息	1
标注百万次	标注关键信息	1
标注百分位	标注排名	5
标注百分位排名	标注排名	1
标注百分比	标注占比	1
标注百分比和文化差异	标注差异	1
标注百分点差	标注占比	1
标注百分点贡献	标注占比	1
标注皮尔逊	标注关键信息	1
标注盈亏平衡	标注参考线	1
标注盈亏平衡点	标注参考线	1
标注盈亏平衡线	标注参考线	4
标注盈亏平衡订阅阈值	标注参考线	1
标注盈亏平衡里程	标注参考线	1
标注盈亏金额	标注参考线	1
标注盈利区间	标注关键信息	1
标注盈利评分和监管适应	标注风险	1
标注监管催化	标注风险	1
标注监管变化	标注风险	1
标注监管差异	标注风险	1
标注监管差距	标注风险	1
标注监管干预点	标注事件	1
标注监管影响	标注风险	1
标注监管沙盒	标注风险	1
标注监管环境	标注风险	1
标注监管环境变化	标注风险	1
标注监管科技增长	标注风险	1
标注监管等级	标注风险	1
标注监管红线	标注风险	4
标注监管红线和关键风险事件	标注事件	1
标注监管线	标注风险	1
标注监管要求	标注风险	2
标注监管要求底线	标注风险	2
标注监管趋势	标注风险	1
标注监管路径	标注风险	1
标注监管进展	标注风险	1
标注监管里程碑	标注风险	1
标注目标	标注数值	1
标注目标vs实际	标注关键信息	1
标注目标vs实际偏差	标注差异	1
标注目标产能线	标注关键信息	1
标注目标价区间	标注关键信息	1
标注目标值和实际值	标注关键信息	2
标注目标值和实际评分	标注评分	1
标注目标区	标注关键信息	1
标注目标区域	标注关键信息	2
标注目标占比	标注占比	1
标注目标周转率线	标注关键信息	1
标注目标国家名	标注实体名	1
标注目标差距	标注差异	1
标注目标线	标注参考线	2
标注目标线(SDG	标注参考线	1
标注目标线85%	标注参考线	1
标注目标线和实际位置	标注参考线	1
标注目标节点	标注阶段	1
标注目标覆盖率	标注占比	1
标注目的地名	标注关键信息	1
标注直播带货兴起时间点	标注关键信息	1
标注相似度%	标注占比	1
标注相关代谢物和因子	标注关键信息	1
标注相关性	标注趋势特征	2
标注相关性和位点注释	标注趋势特征	1
标注相关性和功能注释	标注趋势特征	1
标注相关性和滞后时间	标注趋势特征	1
标注相关性和距离	标注趋势特征	2
标注相关新闻和事件时点	标注事件	2
标注相关系数	标注趋势特征	15
标注相关系数+趋势线	标注趋势特征	1
标注相关系数和	标注趋势特征	1
标注相关系数和基因集	标注趋势特征	1
